lemma;raw_count;freq_per_100_lemmas
seos;18;0.092
vabandust;18;0.092
kvaliteetne;18;0.092
valitud;18;0.092
kogus;18;0.092
masin;18;0.092
jaapan;18;0.092
it;18;0.092
sageli;18;0.092
mälu;18;0.092
vabadus;18;0.092
informatsioon;18;0.092
võimas;18;0.092
1000;18;0.092
president;18;0.092
reis;18;0.092
pulm;18;0.092
mai;18;0.092
fermenteerima;18;0.092
avatud;17;0.087
rumal;17;0.087
seadma;17;0.087
2000;17;0.087
proov;17;0.087
tarkus;17;0.087
rakvere;17;0.087
ime;17;0.087
töötaja;17;0.087
harjutama;17;0.087
sorry;17;0.087
poliitika;17;0.087
enamasti;17;0.087
rootsi;17;0.087
rahvusvaheline;17;0.087
aivar;17;0.087
odavam;17;0.087
kogukond;17;0.087
maailmameister;17;0.087
latt;17;0.087
gert;17;0.087
täht;17;0.087
kogenud;17;0.087
tugevam;17;0.087
kinnitama;17;0.087
müük;17;0.087
toimetama;17;0.087
üür;17;0.087
kahtlema;17;0.087
mega;17;0.087
mikrofon;17;0.087
john;17;0.087
uuem;17;0.087
komitee;17;0.087
igapäevaselt;17;0.087
ligipääsetavus;17;0.087
vaimne;17;0.087
24;17;0.087
70;17;0.087
taim;17;0.087
osalema;17;0.087
andrei;17;0.087
risk;17;0.087
joon;17;0.087
kütma;17;0.087
huumor;17;0.087
igav;17;0.087
tasand;17;0.087
tuletama;17;0.087
ainukene;17;0.087
tuul;17;0.087
juubel;17;0.087
saun;17;0.087
segment;17;0.087
proua;17;0.087
toidulisand;17;0.087
valgamaa;16;0.082
vald;16;0.082
õde;16;0.082
auhind;16;0.082
otepää;16;0.082
avalik;16;0.082
kroon;16;0.082
tajuma;16;0.082
madal;16;0.082
nimekiri;16;0.082
ajastu;16;0.082
vanus;16;0.082
ilves;16;0.082
enamik;16;0.082
is;16;0.082
kant;16;0.082
räige;16;0.082
esikümme;16;0.082
härra;16;0.082
laht;16;0.082
ameeriklane;16;0.082
rapla;16;0.082
erinevalt;16;0.082
turniir;16;0.082
muster;16;0.082
ideaalne;16;0.082
hiljuti;16;0.082
kaal;16;0.082
tõnu;16;0.082
püsti;16;0.082
hitt;16;0.082
tagama;16;0.082
instrument;16;0.082
16;16;0.082
pall;16;0.082
tootja;16;0.082
ümmargune;16;0.082
viha;16;0.082
kaamera;16;0.082
kvaliteet;16;0.082
kokkulepe;16;0.082
teooria;16;0.082
peatuma;16;0.082
pealkiri;16;0.082
juus;16;0.082
raeküla;16;0.082
seen;16;0.082
investor;16;0.082
saatejuht;15;0.077
tõrv;15;0.077
endine;15;0.077
ekspert;15;0.077
vähenema;15;0.077
liit;15;0.077
kunst;15;0.077
saksa;15;0.077
püks;15;0.077
katse;15;0.077
aktuaalne;15;0.077
kaitsevägi;15;0.077
põhjal;15;0.077
huvitavam;15;0.077
tagasiside;15;0.077
lahku;15;0.077
lähenema;15;0.077
ühendus;15;0.077
võõras;15;0.077
trump;15;0.077
poolteist;15;0.077
tänaku;15;0.077
mahtuma;15;0.077
reageerima;15;0.077
tava;15;0.077
peatreener;15;0.077
kontaveit;15;0.077
käigus;15;0.077
tugi;15;0.077
edukas;15;0.077
tehniliselt;15;0.077
pill;15;0.077
